# DIRECT ASCENT ASAT TRAJECTORY EPHEMERIS (ECI J2000)
# Time of Flight: 9000 seconds
# Columns: Time(s), Pos_X(m), Pos_Y(m), Pos_Z(m), Vel_X(m/s), Vel_Y(m/s), Vel_Z(m/s)
# -----------------------------------------------------------------------------------------------
   97,   4520669.0913,   4666037.0018,   2437577.7344,  -3478.9069,   6042.9074,   7576.5819
   98,   4517187.4902,   4672077.1265,   2445152.8618,  -3484.2928,   6037.3426,   7573.6722
   99,   4513700.5104,   4678111.6882,   2452725.0776,  -3489.6642,   6031.7813,   7570.7590
  100,   4510208.1666,   4684140.6903,   2460294.3786,  -3495.0211,   6026.2235,   7567.8425
  101,   4506710.4731,   4690164.1364,   2467860.7615,  -3500.3635,   6020.6694,   7564.9226
  102,   4503207.4443,   4696182.0302,   2475424.2227,  -3505.6915,   6015.1188,   7561.9994
  103,   4499699.0948,   4702194.3752,   2482984.7592,  -3511.0051,   6009.5718,   7559.0729
  104,   4496185.4390,   4708201.1751,   2490542.3675,  -3516.3043,   6004.0284,   7556.1432
  105,   4492666.4911,   4714202.4333,   2498097.0445,  -3521.5891,   5998.4887,   7553.2102
  106,   4489142.2655,   4720198.1537,   2505648.7868,  -3526.8596,   5992.9527,   7550.2740
  107,   4485612.7767,   4726188.3399,   2513197.5914,  -3532.1158,   5987.4202,   7547.3347
  108,   4482078.0387,   4732172.9954,   2520743.4551,  -3537.3577,   5981.8915,   7544.3922
  109,   4478538.0660,   4738152.1241,   2528286.3747,  -3542.5854,   5976.3665,   7541.4465
  110,   4474992.8728,   4744125.7297,   2535826.3472,  -3547.7988,   5970.8452,   7538.4978
  111,   4471442.4732,   4750093.8157,   2543363.3694,  -3552.9980,   5965.3276,   7535.5460
  112,   4467886.8814,   4756056.3861,   2550897.4383,  -3558.1831,   5959.8138,   7532.5912
  113,   4464326.1117,   4762013.4445,   2558428.5508,  -3563.3540,   5954.3037,   7529.6334
  114,   4460760.1781,   4767964.9947,   2565956.7041,  -3568.5108,   5948.7974,   7526.6726
  115,   4457189.0947,   4773911.0405,   2573481.8950,  -3573.6536,   5943.2948,   7523.7088
  116,   4453612.8756,   4779851.5857,   2581004.1208,  -3578.7822,   5937.7961,   7520.7421
  117,   4450031.5349,   4785786.6341,   2588523.3783,  -3583.8968,   5932.3012,   7517.7726
  118,   4446445.0866,   4791716.1894,   2596039.6649,  -3588.9975,   5926.8102,   7514.8001
  119,   4442853.5447,   4797640.2557,   2603552.9776,  -3594.0841,   5921.3229,   7511.8248
  120,   4439256.9230,   4803558.8366,   2611063.3135,  -3599.1568,   5915.8396,   7508.8466
  121,   4435655.2357,   4809471.9361,   2618570.6699,  -3604.2155,   5910.3601,   7505.8657
  122,   4432048.4966,   4815379.5581,   2626075.0440,  -3609.2604,   5904.8845,   7502.8820
  123,   4428436.7195,   4821281.7064,   2633576.4331,  -3614.2914,   5899.4128,   7499.8956
  124,   4424819.9184,   4827178.3850,   2641074.8343,  -3619.3085,   5893.9450,   7496.9065
  125,   4421198.1071,   4833069.5977,   2648570.2451,  -3624.3119,   5888.4811,   7493.9146
  126,   4417571.2993,   4838955.3486,   2656062.6627,  -3629.3014,   5883.0212,   7490.9201
  127,   4413939.5089,   4844835.6415,   2663552.0845,  -3634.2772,   5877.5653,   7487.9230
  128,   4410302.7495,   4850710.4804,   2671038.5078,  -3639.2392,   5872.1133,   7484.9233
  129,   4406661.0350,   4856579.8694,   2678521.9301,  -3644.1876,   5866.6653,   7481.9209
  130,   4403014.3790,   4862443.8123,   2686002.3488,  -3649.1222,   5861.2213,   7478.9160
  131,   4399362.7951,   4868302.3132,   2693479.7614,  -3654.0432,   5855.7813,   7475.9086
  132,   4395706.2971,   4874155.3762,   2700954.1652,  -3658.9506,   5850.3453,   7472.8987
  133,   4392044.8985,   4880003.0051,   2708425.5580,  -3663.8444,   5844.9133,   7469.8863
  134,   4388378.6129,   4885845.2042,   2715893.9370,  -3668.7246,   5839.4854,   7466.8714
  135,   4384707.4539,   4891681.9773,   2723359.3000,  -3673.5912,   5834.0616,   7463.8541
  136,   4381031.4350,   4897513.3286,   2730821.6445,  -3678.4444,   5828.6418,   7460.8344
  137,   4377350.5696,   4903339.2622,   2738280.9681,  -3683.2840,   5823.2261,   7457.8123
  138,   4373664.8714,   4909159.7821,   2745737.2684,  -3688.1102,   5817.8145,   7454.7879
  139,   4369974.3537,   4914974.8925,   2753190.5431,  -3692.9230,   5812.4070,   7451.7611
  140,   4366279.0299,   4920784.5974,   2760640.7899,  -3697.7224,   5807.0036,   7448.7320
  141,   4362578.9134,   4926588.9011,   2768088.0065,  -3702.5083,   5801.6043,   7445.7007
  142,   4358874.0176,   4932387.8075,   2775532.1905,  -3707.2810,   5796.2092,   7442.6671
  143,   4355164.3559,   4938181.3209,   2782973.3398,  -3712.0403,   5790.8183,   7439.6312
  144,   4351449.9415,   4943969.4454,   2790411.4522,  -3716.7863,   5785.4315,   7436.5931
  145,   4347730.7878,   4949752.1852,   2797846.5253,  -3721.5190,   5780.0488,   7433.5529
  146,   4344006.9079,   4955529.5445,   2805278.5572,  -3726.2385,   5774.6704,   7430.5104
  147,   4340278.3152,   4961301.5274,   2812707.5455,  -3730.9448,   5769.2962,   7427.4659
  148,   4336545.0227,   4967068.1382,   2820133.4882,  -3735.6379,   5763.9261,   7424.4192
  149,   4332807.0437,   4972829.3811,   2827556.3832,  -3740.3178,   5758.5603,   7421.3704
  150,   4329064.3914,   4978585.2603,   2834976.2284,  -3744.9846,   5753.1987,   7418.3196
  151,   4325317.0788,   4984335.7800,   2842393.0218,  -3749.6384,   5747.8414,   7415.2667
  152,   4321565.1191,   4990080.9445,   2849806.7612,  -3754.2790,   5742.4883,   7412.2118
  153,   4317808.5252,   4995820.7580,   2857217.4447,  -3758.9066,   5737.1395,   7409.1549
  154,   4314047.3103,   5001555.2249,   2864625.0704,  -3763.5211,   5731.7949,   7406.0961
  155,   4310281.4873,   5007284.3493,   2872029.6362,  -3768.1227,   5726.4546,   7403.0352
  156,   4306511.0692,   5013008.1356,   2879431.1402,  -3772.7113,   5721.1187,   7399.9725
  157,   4302736.0691,   5018726.5880,   2886829.5805,  -3777.2869,   5715.7870,   7396.9078
  158,   4298956.4997,   5024439.7110,   2894224.9552,  -3781.8497,   5710.4596,   7393.8413
  159,   4295172.3740,   5030147.5087,   2901617.2624,  -3786.3995,   5705.1366,   7390.7729
  160,   4291383.7049,   5035849.9855,   2909006.5003,  -3790.9365,   5699.8178,   7387.7026
  161,   4287590.5052,   5041547.1458,   2916392.6671,  -3795.4607,   5694.5035,   7384.6306
  162,   4283792.7877,   5047238.9939,   2923775.7608,  -3799.9721,   5689.1934,   7381.5567
  163,   4279990.5652,   5052925.5342,   2931155.7799,  -3804.4707,   5683.8878,   7378.4811
  164,   4276183.8505,   5058606.7709,   2938532.7224,  -3808.9565,   5678.5865,   7375.4037
  165,   4272372.6564,   5064282.7086,   2945906.5867,  -3813.4297,   5673.2896,   7372.3246
  166,   4268556.9954,   5069953.3515,   2953277.3711,  -3817.8901,   5667.9970,   7369.2438
  167,   4264736.8803,   5075618.7041,   2960645.0738,  -3822.3379,   5662.7089,   7366.1613
  168,   4260912.3238,   5081278.7708,   2968009.6932,  -3826.7730,   5657.4252,   7363.0772
  169,   4257083.3385,   5086933.5559,   2975371.2276,  -3831.1956,   5652.1459,   7359.9914
  170,   4253249.9369,   5092583.0640,   2982729.6754,  -3835.6055,   5646.8710,   7356.9040
  171,   4249412.1317,   5098227.2993,   2990085.0350,  -3840.0029,   5641.6005,   7353.8150
  172,   4245569.9353,   5103866.2664,   2997437.3048,  -3844.3878,   5636.3345,   7350.7244
  173,   4241723.3603,   5109499.9698,   3004786.4832,  -3848.7601,   5631.0729,   7347.6322
  174,   4237872.4192,   5115128.4137,   3012132.5688,  -3853.1200,   5625.8158,   7344.5386
  175,   4234017.1245,   5120751.6028,   3019475.5599,  -3857.4674,   5620.5631,   7341.4434
  176,   4230157.4885,   5126369.5415,   3026815.4550,  -3861.8025,   5615.3150,   7338.3467
  177,   4226293.5237,   5131982.2343,   3034152.2528,  -3866.1251,   5610.0713,   7335.2486
  178,   4222425.2424,   5137589.6856,   3041485.9517,  -3870.4354,   5604.8321,   7332.1490
  179,   4218552.6571,   5143191.8999,   3048816.5503,  -3874.7333,   5599.5974,   7329.0480
  180,   4214675.7799,   5148788.8818,   3056144.0472,  -3879.0189,   5594.3672,   7325.9455
  181,   4210794.6233,   5154380.6357,   3063468.4409,  -3883.2922,   5589.1415,   7322.8417
  182,   4206909.1995,   5159967.1662,   3070789.7301,  -3887.5533,   5583.9203,   7319.7365
  183,   4203019.5208,   5165548.4778,   3078107.9135,  -3891.8022,   5578.7037,   7316.6300
  184,   4199125.5993,   5171124.5751,   3085422.9896,  -3896.0388,   5573.4916,   7313.5221
  185,   4195227.4472,   5176695.4625,   3092734.9573,  -3900.2633,   5568.2840,   7310.4129
  186,   4191325.0767,   5182261.1446,   3100043.8151,  -3904.4756,   5563.0810,   7307.3025
  187,   4187418.5000,   5187821.6259,   3107349.5618,  -3908.6758,   5557.8825,   7304.1908
  188,   4183507.7290,   5193376.9111,   3114652.1962,  -3912.8640,   5552.6886,   7301.0778
  189,   4179592.7760,   5198927.0047,   3121951.7170,  -3917.0400,   5547.4993,   7297.9636
  190,   4175673.6530,   5204471.9113,   3129248.1230,  -3921.2040,   5542.3146,   7294.8482
  191,   4171750.3720,   5210011.6354,   3136541.4129,  -3925.3560,   5537.1344,   7291.7316
  192,   4167822.9449,   5215546.1817,   3143831.5857,  -3929.4961,   5531.9589,   7288.6138
  193,   4163891.3839,   5221075.5546,   3151118.6402,  -3933.6241,   5526.7879,   7285.4949
  194,   4159955.7007,   5226599.7590,   3158402.5751,  -3937.7402,   5521.6215,   7282.3748
  195,   4156015.9073,   5232118.7992,   3165683.3895,  -3941.8445,   5516.4598,   7279.2537
  196,   4152072.0157,   5237632.6801,   3172961.0822,  -3945.9368,   5511.3026,   7276.1314
  197,   4148124.0376,   5243141.4061,   3180235.6520,  -3950.0173,   5506.1501,   7273.0081
  198,   4144171.9850,   5248644.9819,   3187507.0980,  -3954.0860,   5501.0023,   7269.8837
  199,   4140215.8695,   5254143.4121,   3194775.4191,  -3958.1429,   5495.8590,   7266.7583
  200,   4136255.7031,   5259636.7015,   3202040.6143,  -3962.1880,   5490.7204,   7263.6319
  201,   4132291.4974,   5265124.8545,   3209302.6825,  -3966.2214,   5485.5865,   7260.5044
  202,   4128323.2642,   5270607.8760,   3216561.6228,  -3970.2430,   5480.4572,   7257.3760
